"CT County Subdivisions,Year",Year,Town,Total crime Rate,"Crime, Total crime, Number","Total estimated population, Number"
"9,005,879,102,007",2007,Woodbury,831.45,81,9742
"9,011,737,702,006",2006,Stonington,2105.09,385,18289
"9,003,504,402,000",2000,New Britain,5553.69,3973,71538
"9,003,745,402,010",2010,Suffield,788.05,124,15735
"9,009,032,502,005",2005,Beacon Falls,,,5648
"9,003,849,002,009",2009,Wethersfield,1892.74,504,26628
"9,011,159,101,999",1999,Colchester,1161.43,169,14551
"9,003,370,702,009",2009,Hartford,6260.9,7792,124455
"9,005,757,302,010",2010,Thomaston,1724.36,136,7887
"9,015,881,902,007",2007,Woodstock,284.2,22,7741
"9,009,538,901,998",1998,North Branford,1718.68,239,13906
"9,003,371,402,009",2009,Hartland,285.17,6,2104
"9,003,043,002,005",2005,Berlin,,,19041
"9,001,741,902,006",2006,Stratford,3225.04,1639,50821
"9,005,864,402,009",2009,Winchester,2128.04,238,11184
"9,001,835,002,009",2009,Westport,1390.21,366,26327
"9,011,339,001,999",1999,Griswold,1230.68,133,10807
"9,013,010,802,008",2008,Andover,923.08,30,3250
"9,003,745,402,006",2006,Suffield,1224.6,182,14862
"9,005,540,301,998",1998,North Canaan,2089.55,70,3350
"9,015,758,702,010",2010,Thompson,803.55,76,9458
"9,009,045,802,005",2005,Bethany,,,5302
"9,009,875,602,009",2009,Wolcott,1620.9,268,16534
"9,015,867,902,009",2009,Windham,579.37,145,25027
"9,005,372,802,009",2009,Harwinton,981.09,55,5606
"9,013,762,902,010",2010,Tolland,398.62,60,15052
"9,009,012,202,008",2008,Ansonia,1962.32,375,19110
"9,005,757,302,006",2006,Thomaston,1939.74,150,7733
"9,013,379,102,009",2009,Hebron,542.91,52,9578
"9,009,548,701,998",1998,North Haven,2899.93,668,23035
"9,009,877,002,009",2009,Woodbridge,1702.08,153,8989
"9,005,402,902,002",2002,Kent,1700.21,49,2882
"9,003,870,702,009",2009,Windsor Locks,2457.24,306,12453
"9,005,765,702,010",2010,Torrington,2523.16,918,36383
"9,001,047,202,005",2005,Bethel,,,18326
"9,003,370,702,003",2003,Hartford,10522.54,12894,122537
"9,005,402,902,009",2009,Kent,1044.83,31,2967
"9,001,336,201,999",1999,Greenwich,1415.69,865,61101
"9,015,758,702,006",2006,Thompson,617.82,57,9226
"9,011,555,001,998",1998,North Stonington,2123.82,106,4991
"9,011,555,002,010",2010,North Stonington,1283.75,68,5297
"9,005,049,302,005",2005,Bethlehem,,,3515
"9,009,499,502,000",2000,Naugatuck,2200.78,682,30989
"9,015,014,302,008",2008,Ashford,608.47,26,4273
"9,003,059,102,005",2005,Bloomfield,,,20037
"9,009,538,902,000",2000,North Branford,1193.73,166,13906
"9,011,562,702,010",2010,Norwich,2753.56,1115,40493
"9,015,405,002,009",2009,Killingly,1342.59,232,17280
"9,001,560,601,998",1998,Norwalk,4343.53,3603,82951
"9,005,027,602,008",2008,Barkhamsted,1123.6,42,3738
"9,005,765,702,006",2006,Torrington,2703.91,971,35911
"9,013,762,902,006",2006,Tolland,559.83,80,14290
"9,003,020,602,008",2008,Avon,782.09,138,17645
"9,001,772,002,010",2010,Trumbull,1996.22,719,36018
"9,013,062,602,005",2005,Bolton,,,4999
"9,005,540,302,010",2010,North Canaan,1297.13,43,3315
"9,003,870,002,009",2009,Windsor,2050.89,594,28963
"9,007,407,102,009",2009,Killingworth,432.5,28,6474
"9,009,032,502,008",2008,Beacon Falls,849.18,50,5888
"9,011,562,701,998",1998,Norwich,4302.68,1554,36117
"9,011,423,902,009",2009,Lebanon,811.78,59,7268
"9,013,778,302,010",2010,Union,468.38,4,854
"9,009,469,402,002",2002,Middlebury,1003.59,67,6676
"9,005,797,202,003",2003,Washington,891.12,32,3591
"9,005,879,102,009",2009,Woodbury,565.83,56,9897
"9,015,881,902,009",2009,Woodstock,316.86,25,7890
"9,011,068,202,005",2005,Bozrah,,,2492
"9,013,778,302,006",2006,Union,759.49,6,790
"9,001,772,002,006",2006,Trumbull,1628.53,575,35308
"9,011,570,401,998",1998,Old Lyme,1728.33,128,7406
"9,013,782,502,010",2010,Vernon,1041.85,304,29179
"9,009,073,102,005",2005,Branford,,,28355
"9,003,043,002,008",2008,Berlin,2564.5,501,19536
"9,009,576,002,010",2010,Orange,2873.32,401,13956
"9,013,062,601,999",1999,Bolton,976.68,49,5017
"9,009,045,802,008",2008,Bethany,806.16,44,5458
"9,013,782,502,006",2006,Vernon,1322.52,380,28733
"9,011,489,002,000",2000,Montville,1498.98,278,18546
"9,005,494,602,000",2000,Morris,564.97,13,2301
"9,007,573,201,998",1998,Old Saybrook,2970.97,308,10367
"9,001,529,802,010",2010,Newtown,816.4,225,27560
"9,009,583,002,010",2010,Oxford,733.27,93,12683
"9,013,379,102,002",2002,Hebron,895.18,79,8825
"9,001,080,702,005",2005,Bridgeport,,,141879
"9,001,266,202,002",2002,Fairfield,2070.89,1196,57753
"9,003,326,401,999",1999,Granby,1642.99,170,10347
"9,011,432,302,009",2009,Lisbon,2598.01,112,4311
"9,005,082,102,005",2005,Bridgewater,,,1776
"9,011,786,002,006",2006,Voluntown,971.63,25,2573
"9,009,576,001,998",1998,Orange,4602.13,609,13233
"9,011,426,002,009",2009,Ledyard,972.36,146,15015
"9,005,049,302,008",2008,Bethlehem,504.2,18,3570
"9,009,787,402,006",2006,Wallingford,2122.33,940,44291
"9,001,486,202,000",2000,Monroe,675.43,130,19247
"9,001,047,202,008",2008,Bethel,957.74,177,18481
"9,005,433,702,009",2009,Litchfield,1053.13,89,8451
"9,003,084,902,005",2005,Bristol,,,60270
"9,009,538,902,010",2010,North Branford,1999.03,288,14407
"9,015,360,002,003",2003,Hampton,1173.18,21,1790
"9,011,442,102,009",2009,Lyme,675.96,16,2367
"9,009,583,001,998",1998,Oxford,1191.32,117,9821
"9,003,059,102,008",2008,Bloomfield,2905.55,590,20306
"9,005,795,102,006",2006,Warren,435.41,6,1378
"9,009,445,602,009",2009,Madison,1014.92,185,18228
"9,009,475,352,000",2000,Milford,3663.13,1916,52305
"9,001,089,802,005",2005,Brookfield,,,16058
"9,001,508,602,010",2010,New Fairfield,497.08,69,13881
"9,005,607,502,010",2010,Plymouth,2327.86,285,12243
"9,003,601,202,010",2010,Plainville,3669,650,17716
"9,007,153,501,999",1999,Clinton,1229.57,161,13094
"9,013,062,602,008",2008,Bolton,621.62,31,4987
"9,015,599,801,998",1998,Plainfield,2264.18,331,14619
"9,009,465,202,002",2002,Meriden,4461.54,2622,58769
"9,011,786,002,010",2010,Voluntown,960.43,25,2603
"9,015,091,902,005",2005,Brooklyn,,,7692
"9,007,473,602,000",2000,Middletown,3442.44,1486,43167
