"CT County Subdivisions,Year",Year,Town,Total property crime Rate,"Crime, Total property crime, Number","Total estimated population, Number"
"9,013,178,002,005",2005,Coventry,,,11970
"9,003,371,401,999",1999,Hartland,397.61,8,2012
"9,011,523,502,008",2008,New London,3507.16,955,27230
"9,005,864,402,010",2010,Winchester,1965.84,221,11242
"9,011,570,402,000",2000,Old Lyme,1174.72,87,7406
"9,003,870,702,006",2006,Windsor Locks,2419.62,298,12316
"9,003,059,101,998",1998,Bloomfield,2716.09,532,19587
"9,005,513,502,009",2009,New Hartford,624.82,43,6882
"9,007,180,802,005",2005,Cromwell,,,13438
"9,009,875,602,006",2006,Wolcott,1360.76,219,16094
"9,005,526,302,008",2008,New Milford,1123.92,314,27938
"9,009,877,002,010",2010,Woodbridge,1757.51,158,8990
"9,001,185,002,005",2005,Danbury,,,77871
"9,003,870,702,010",2010,Windsor Locks,2080.33,260,12498
"9,009,520,702,009",2009,New Haven,5496.11,7099,129164
"9,003,043,001,999",1999,Berlin,1976.39,360,18215
"9,009,877,002,006",2006,Woodbridge,990.32,89,8987
"9,003,521,402,008",2008,Newington,2794.37,847,30311
"9,013,062,601,998",1998,Bolton,1176,59,5017
"9,001,188,502,005",2005,Darien,,,20170
"9,009,875,602,010",2010,Wolcott,1612.71,269,16680
"9,011,523,502,009",2009,New London,3292.62,903,27425
"9,011,068,201,998",1998,Bozrah,1484.94,35,2357
"9,001,529,802,008",2008,Newtown,949.95,257,27054
"9,015,881,902,010",2010,Woodstock,615.27,49,7964
"9,005,027,601,999",1999,Barkhamsted,1144.82,40,3494
"9,005,879,102,006",2006,Woodbury,600.17,58,9664
"9,005,526,302,009",2009,New Milford,1248.22,350,28040
"9,007,191,302,005",2005,Deep River,,,4620
"9,011,786,002,002",2002,Voluntown,1219.03,31,2543
"9,009,141,602,000",2000,Cheshire,1282.28,366,28543
"9,009,195,502,005",2005,Derby,,,12647
"9,015,881,902,006",2006,Woodstock,443.46,34,7667
"9,009,073,101,998",1998,Branford,3287.66,943,28683
"9,013,010,802,007",2007,Andover,465.4,15,3223
"9,009,538,902,008",2008,North Branford,1502.76,215,14307
"9,005,534,702,008",2008,Norfolk,1118.3,19,1699
"9,001,080,701,998",1998,Bridgeport,5059.16,7059,139529
"9,001,529,802,009",2009,Newtown,670.16,183,27307
"9,015,138,102,000",2000,Chaplin,1155.56,26,2250
"9,007,208,102,005",2005,Durham,,,7008
"9,003,370,701,999",1999,Hartford,7218.41,8776,121578
"9,005,540,302,008",2008,North Canaan,872.97,29,3322
"9,005,879,102,010",2010,Woodbury,791.98,79,9975
"9,003,220,702,005",2005,East Granby,,,4947
"9,009,012,202,007",2007,Ansonia,1995.69,380,19041
"9,005,082,101,998",1998,Bridgewater,657.89,12,1824
"9,003,521,402,009",2009,Newington,2786.17,848,30436
"9,013,782,502,002",2002,Vernon,2785.83,788,28286
"9,015,014,302,007",2007,Ashford,446.95,19,4251
"9,013,692,202,000",2000,Somers,633.58,66,10417
"9,005,534,702,009",2009,Norfolk,821.6,14,1704
"9,007,222,802,005",2005,East Haddam,,,8730
"9,013,782,502,003",2003,Vernon,2324.11,660,28398
"9,003,084,901,998",1998,Bristol,2329.26,1399,60062
"9,003,020,602,007",2007,Avon,1090.83,190,17418
