"CT County Subdivisions,Year",Year,Town,Juvenile arrests Rate,"Juvenile arrests, Total arrests, 10 to 17 years, Number","Total population, 10 to 17 years, Number"
"9,011,423,901,999",1999,Lebanon,,,
"9,013,778,302,001",2001,Union,,,
"9,011,426,002,008",2008,Ledyard,2114.16,40,1892
"9,003,020,602,002",2002,Avon,,,
"9,011,737,702,006",2006,Stonington,8471.85,158,1865
"9,015,138,102,000",2000,Chaplin,,,
"9,003,689,402,001",2001,Simsbury,,,
"9,001,834,301,999",1999,Weston,,,
"9,003,849,001,998",1998,Wethersfield,,,
"9,007,473,602,008",2008,Middletown,5027.24,203,4038
"9,007,191,302,004",2004,Deep River,12815.53,66,515
"9,015,360,002,002",2002,Hampton,,,
"9,015,014,302,003",2003,Ashford,1394.42,7,502
"9,005,027,602,002",2002,Barkhamsted,,,
"9,009,032,502,001",2001,Beacon Falls,,,
"9,013,859,501,998",1998,Willington,,,
"9,003,020,602,003",2003,Avon,3310.61,68,2054
"9,011,562,702,009",2009,Norwich,6438.19,263,4085
"9,011,159,102,005",2005,Colchester,,,
"9,001,835,001,999",1999,Westport,,,
"9,009,195,502,004",2004,Derby,2681.66,31,1156
"9,007,143,002,000",2000,Chester,,,
"9,003,101,002,005",2005,Burlington,,,
"9,003,043,002,002",2002,Berlin,,,
"9,009,045,802,001",2001,Bethany,,,
"9,009,045,802,004",2004,Bethany,1605.84,11,685
"9,005,027,602,003",2003,Barkhamsted,1843.32,8,434
"9,001,863,701,998",1998,Wilton,,,
"9,011,786,002,001",2001,Voluntown,,,
"9,001,486,202,008",2008,Monroe,434.15,12,2764
"9,007,208,102,004",2004,Durham,4545.45,44,968
"9,003,849,001,999",1999,Wethersfield,,,
"9,007,470,802,003",2003,Middlefield,1757.81,9,512
"9,001,047,202,002",2002,Bethel,,,
"9,013,164,002,005",2005,Columbia,,,
"9,005,049,302,001",2001,Bethlehem,,,
"9,009,032,502,003",2003,Beacon Falls,2660.41,17,639
"9,001,188,502,004",2004,Darien,1664.25,46,2764
"92,005",2005,Connecticut,,,
"9,005,864,401,998",1998,Winchester,,,
"9,003,220,702,004",2004,East Granby,3225.81,19,589
"9,011,068,202,006",2006,Bozrah,724.64,2,276
"9,005,513,502,008",2008,New Hartford,1363.07,11,807
"9,005,795,102,001",2001,Warren,,,
"9,001,683,102,005",2005,Sherman,,,
"9,007,222,802,004",2004,East Haddam,1948.72,19,975
"9,001,772,002,006",2006,Trumbull,5336.06,235,4404
"9,013,720,902,003",2003,Stafford,2785.92,38,1364
"9,003,059,102,002",2002,Bloomfield,,,
"9,003,447,002,008",2008,Manchester,16932.79,912,5386
"9,003,458,202,009",2009,Marlborough,384.12,3,781
"9,015,867,901,998",1998,Windham,,,
"9,011,716,702,005",2005,Sprague,,,
"9,013,062,602,002",2002,Bolton,,,
"9,013,859,501,999",1999,Willington,,,
"9,001,863,701,999",1999,Wilton,,,
"9,013,782,502,006",2006,Vernon,5953.31,153,2570
"9,005,797,202,001",2001,Washington,,,
"9,013,164,002,000",2000,Columbia,,,
"9,009,538,902,008",2008,North Branford,2649.01,44,1661
"9,007,224,902,004",2004,East Hampton,3287.07,45,1369
"9,005,160,502,000",2000,Colebrook,,,
"9,003,371,402,002",2002,Hartland,,,
"9,009,073,102,002",2002,Branford,,,
"9,009,045,802,003",2003,Bethany,1333.33,9,675
"9,001,047,202,003",2003,Bethel,2595.08,58,2235
"9,013,692,202,001",2001,Somers,,,
"9,005,864,401,999",1999,Winchester,,,
"9,003,043,002,003",2003,Berlin,2497.73,55,2202
"9,005,172,402,000",2000,Cornwall,,,
"9,003,226,302,004",2004,East Hartford,12856.61,685,5328
"9,013,178,002,005",2005,Coventry,,,
"9,005,372,802,008",2008,Harwinton,2674.59,18,673
"9,001,080,702,002",2002,Bridgeport,,,
"9,003,870,001,998",1998,Windsor,,,
"9,003,870,701,998",1998,Windsor Locks,,,
"9,005,082,102,006",2006,Bridgewater,1025.64,2,195
"9,013,778,302,005",2005,Union,,,
"9,001,185,002,005",2005,Danbury,,,
"9,005,082,102,001",2001,Bridgewater,,,
"9,003,059,102,003",2003,Bloomfield,10100,202,2000
"9,009,012,201,999",1999,Ansonia,,,
"9,011,068,202,001",2001,Bozrah,,,
"9,003,084,902,002",2002,Bristol,,,
"9,009,469,401,999",1999,Middlebury,,,
"9,013,062,602,003",2003,Bolton,2031.25,13,640
"9,009,229,102,004",2004,East Haven,3908.45,111,2840
"9,009,875,601,998",1998,Wolcott,,,
"9,001,188,502,005",2005,Darien,,,
"9,005,402,902,002",2002,Kent,,,
